journal_name,category,if_2022,if_2023,if_2024
Hidrobiologica,MARINE & FRESHWATER BIOLOGY - SCIE(Q4),0.33,0.1,0.3
IC-Revista Cientifica de Informacion y Comunicacion,COMMUNICATION - ESCI(Q4),,,0.3
Ideas in Ecology and Evolution,EVOLUTIONARY BIOLOGY - ESCI(Q4),,,0.3
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)",0.74,0.5,0.3
Journal of Financial Market Infrastructures,"BUSINESS, FINANCE - ESCI(Q4)",,,0.3
Journal of Medical and Biomedical Science,,,,0.3
Journal of Neuroanaesthesiology and Critical Care,,,,0.3
Konya Journal of Engineering Sciences,,,,0.3
Lengua y Migracion-Language and Migration,LINGUISTICS - ESCI(Q4),,,0.3
Medecine Palliative,HEALTH CARE SCIENCES & SERVICES - ESCI(Q4),,,0.3
Molecular Genetics Microbiology and Virology,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4),0.49,0.5,0.3
Rational Pharmacotherapy in Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(Q4),,,0.3
Revista Brasileira de Inovacao,BUSINESS - ESCI(Q4),,,0.3
Revista Critica de Ciencias Sociais,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(Q3)",,,0.3
Revista Geografica de America Central,GEOGRAPHY - ESCI(Q4),,,0.3
Revue de Geographie Alpine-Journal of Alpine Research,GEOGRAPHY - SSCI(Q4),0.43,,0.3
Revue Francaise d Allergologie,ALLERGY - SCIE(Q4),0.25,0.3,0.3
RUSSIAN METALLURGY,METALLURGY & METALLURGICAL ENGINEERING - ESCI(Q4),,,0.3
SAJOG-South African Journal of Obstetrics and Gynaecology,OBSTETRICS & GYNECOLOGY - ESCI(Q4),,,0.3
Sante Publique,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)",0.29,0.3,0.3
Spisanie Na B Lgarskoto Geologichesko Druzhestov-Review of the Bulgarian Geological Society,"GEOSCIENCES, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
TERAPEVTICHESKII ARKHIV,"MEDICINE, GENERAL & INTERNAL - SCIE(Q4)",0.45,0.3,0.3
Trabajo Social,SOCIAL WORK - ESCI(Q4),,,0.3
TROPICAL AGRICULTURE,AGRONOMY - ESCI(Q4),,,0.3
Turk Osteoporoz Dergisi-Turkish Journal of Osteoporosis,RHEUMATOLOGY - ESCI(Q4),,,0.3
TURK PSIKOLOJI DERGISI,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q4)",0.12,,0.3
Vestnik of Saint Petersburg University Earth Sciences,"GEOSCIENCES, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Agricultura Sociedad y Desarrollo,AGRICULTURAL ECONOMICS & POLICY - ESCI(Q4),,,0.3
Archives of Orofacial Science,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(Q4)",,,0.3
Australian Geomechanics Journal,"ENGINEERING, GEOLOGICAL - ESCI(Q4)",,,0.3
Bauphysik,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q4),0.4,0.3,0.3
BIOMEDICAL ENGINEERING,,,,0.3
CAPjournal,ASTRONOMY & ASTROPHYSICS - ESCI(Q4),,,0.3
Casopis za Ekonomiju i Trzisne Komunikacije,BUSINESS - ESCI(Q4),,,0.3
Colorectal Cancer,ONCOLOGY - ESCI(Q4),,,0.3
Computer Science Journal of Moldova,"COMPUTER SCIENCE, THEORY & METHODS - ESCI(Q4)",,,0.3
Cyprus Journal of Medical Sciences,"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI(Q4)",,,0.3
Egyptian Journal of Chest Diseases and Tuberculosis,RESPIRATORY SYSTEM - ESCI(Q4),,,0.3
Endocrinology Research and Practice,,,,0.3
HIV & AIDS Review,INFECTIOUS DISEASES - ESCI(Q4),,,0.3
Informes de la Construccion,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q4),0.66,0.6,0.3
Ingenieria Solidaria,"ENGINEERING, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Inorganic Materials-Applied Research,,,,0.3
International Journal of Autonomous and Adaptive Communications Systems,,,,0.3
International Journal of Hepatobiliary and Pancreatic Diseases,GASTROENTEROLOGY & HEPATOLOGY - ESCI(Q4),,,0.3
INTERNATIONAL JOURNAL OF POWDER METALLURGY,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q4),0.33,,0.3
International Journal of Services Technology and Management,MANAGEMENT - ESCI(Q4),,,0.3
Italian Journal of Vascular and Endovascular Surgery,PERIPHERAL VASCULAR DISEASE - ESCI(Q4),,,0.3
Journal of Educational Cultural and Psychological Studies,"PSYCHOLOGY, EDUCATIONAL - ESCI(Q4)",,,0.3
Journal of Quality Measurement and Analysis,,,,0.3
Journal of the Practice of Cardiovascular Sciences,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(Q4),,,0.3
Journal of Theoretical and Applied Mechanics-Bulgaria,MECHANICS - ESCI(Q4),,,0.3
Korean Chemical Engineering Research,"ENGINEERING, CHEMICAL - ESCI(Q4)",,,0.3
Libres-Library and Information Science Research Electronic Journal,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(Q4),,,0.3
Mediterranean Journal of Infection Microbes and Antimicrobials,INFECTIOUS DISEASES - ESCI(Q4),,,0.3
Palawan Scientist,BIOLOGY - ESCI(Q4),,,0.3
ReiDoCrea-Revista Eectronica de Investigacion y Docencia Creativa,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(Q3)",,,0.3
Revista de Gestao e Projetos,BUSINESS - ESCI(Q4),,,0.3
Revista Ingenieria de Construccion,CONSTRUCTION & BUILDING TECHNOLOGY - ESCI(Q4),,,0.3
Riset Geologi dan Pertambangan,"GEOSCIENCES, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Soil & Environment,SOIL SCIENCE - ESCI(Q4),,,0.3
Southern African Journal of Gynaecological Oncology,OBSTETRICS & GYNECOLOGY - ESCI(Q4),,,0.3
Tecnologia y Ciencias del Agua,WATER RESOURCES - SCIE(Q4),0.34,0.4,0.3
Tocqueville Review,POLITICAL SCIENCE - ESCI(Q4),,,0.3
Turkish Journal of Immunology,IMMUNOLOGY - ESCI(Q4),,,0.3
UCJC Business and Society Review,BUSINESS - ESCI(Q4),,,0.3
Vigilancia Sanitaria em Debate-Sociedade Ciencia & Tecnologia,HEALTH CARE SCIENCES & SERVICES - ESCI(Q4),,,0.3
ZEITSCHRIFT FUR HISTORISCHE FORSCHUNG,HISTORY - AHCI(Q2),,,0.3
ACTA ANAESTHESIOLOGICA BELGICA,ANESTHESIOLOGY - ESCI(Q4),,,0.3
Acta Chemica Iasi,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Alergia Astma Immunologia,IMMUNOLOGY - ESCI(Q4),,,0.3
Analytical Science and Technology,"CHEMISTRY, ANALYTICAL - ESCI(Q4)",,,0.3
Avances en Ciencias e Ingenieria,"ENGINEERING, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Boletin de Ciencias de la Tierra,"GEOSCIENCES, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Ciencias Agronomicas,,,,0.3
CORNELL INTERNATIONAL LAW JOURNAL,,,,0.3
CUHSO-Cultura-Hombre-Sociedad,SOCIAL ISSUES - ESCI(Q4),,,0.3
Egyptian Journal of Critical Care Medicine,,,,0.3
Eleuthera,SOCIAL WORK - ESCI(Q4),,,0.3
Eria-Revista cuatrimestral de Geografia,GEOGRAPHY - ESCI(Q4),,,0.3
Generations,,,,0.3
INGE CUC,"ENGINEERING, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,ENVIRONMENTAL SCIENCES - SCIE(Q4),0.57,0.7,0.3
International Journal of Nanotechnology,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)",0.35,0.5,0.3
JOURNAL OF ADVANCED APPLIED SCIENTIFIC RESEARCH,,,,0.3
Journal of Cellular Automata,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)",0.38,0.3,0.3
Journal of Environmental Science and Management,ENVIRONMENTAL SCIENCES - SCIE(Q4),0.52,0.4,0.3
Journal of Food Science and Technology-Ukraine,FOOD SCIENCE & TECHNOLOGY - ESCI(Q4),,,0.3
Journal of Musculoskeletal Surgery and Research,,,,0.3
Journal of the Korean Electrochemical Society,ELECTROCHEMISTRY - ESCI(Q4),,,0.3
Korean Journal of Materials Research,"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Litera-Journal of Language Literature and Culture Studies,,,,0.3
Perspectivas em Ciencia da Informacao,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(Q4),,,0.3
Postepy Higieny I Medycyny Doswiadczalnej,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q4)",0.36,0.3,0.3
Revista Espanola de Nutricion Humana y Dietetica,NUTRITION & DIETETICS - ESCI(Q4),,,0.3
Revue Internationale PME,BUSINESS - ESCI(Q4),,,0.3
RISUS-Journal on Innovation and Sustainability,MANAGEMENT - ESCI(Q4),,,0.3
South African Crime Quarterly-SACQ,CRIMINOLOGY & PENOLOGY - ESCI(Q4),,,0.3
Universa Medicina,"MEDICINE, GENERAL & INTERNAL - ESCI(Q4)",,,0.3
Universitas Psychologica,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q4)",0.58,,0.3
University Politehnica of Bucharest Scientific Bulletin Series B-Chemistry and Materials Science,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
University Politehnica of Bucharest Scientific Bulletin Series C-Electrical Engineering and Computer Science,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(Q4)",,,0.3
WEST INDIAN MEDICAL JOURNAL,"MEDICINE, GENERAL & INTERNAL - SCIE(Q4)",0.21,0.1,0.3
Astrolabio-Nueva Epoca,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(Q3)",,,0.3
Contexto,,,,0.3
CPU-e Revista de Investigacion Educativa,EDUCATION & EDUCATIONAL RESEARCH - ESCI(Q4),,,0.3
Glasnik Hemicara i Tehnologa Bosne i Hercegovine,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
International E-Journal of Criminal Sciences,CRIMINOLOGY & PENOLOGY - ESCI(Q4),,,0.3
Izvestiya Vuzov-Prikladnaya Khimiya i Biotekhnologiya,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
LISTY CUKROVARNICKE A REPARSKE,FOOD SCIENCE & TECHNOLOGY - SCIE(Q4),0.31,0.2,0.3
MICROWAVE JOURNAL,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)",0.38,0.4,0.3
MILITARY OPERATIONS RESEARCH,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q4),0.42,0.7,0.3
Retail and Marketing Review,BUSINESS - ESCI(Q4),,,0.3
Revista Brasileira de Futsal e Futebol,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(Q4)",,,0.3
Revista Chilena de Neuropsicologia,,,,0.3
Revista CS en Ciencias Sociales,SOCIAL ISSUES - ESCI(Q4),,,0.3
Revista Gestion de las Personas y Tecnologia,MANAGEMENT - ESCI(Q4),,,0.3
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4),0.33,,0.3
Revista Latinoamericana de Metodologia de las Ciencias Sociales,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(Q3)",,,0.3
Web Intelligence,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(Q4)",,,0.3
AUSTRALIAN FARM BUSINESS MANAGEMENT JOURNAL,,,,0.3
CHEMICAL AND PETROLEUM ENGINEERING,"ENGINEERING, CHEMICAL - ESCI(Q4)",,,0.3
Contabilidade Gestao e Governanca,MANAGEMENT - ESCI(Q4),,,0.3
Cuadernos del CIMBAGE,"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI(Q4)",,,0.3
ENTRE CIENCIA E INGENIERIA,"ENGINEERING, MULTIDISCIPLINARY - ESCI(Q4)",,,0.3
Farmeconomia-Health Economics and Therapeutic Pathways,HEALTH CARE SCIENCES & SERVICES - ESCI(Q4),,,0.3
Inquietud Empresarial,BUSINESS - ESCI(Q4),,,0.3
International Journal of Clinical and Experimental Medicine,"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI(Q4)",,,0.3
Journal of Lusophone Studies,,,,0.3
Odontoestomatologia,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(Q4)",,,0.3
PERIPLO SUSTENTABLE,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(Q4)",,,0.3
Scire-Representacion y Organizacion del Conocimiento,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(Q4),,,0.3
SOCIOLOGIE DU TRAVAIL,SOCIOLOGY - SSCI(Q4),0.35,,0.3
SOUTHWESTERN NATURALIST,BIODIVERSITY CONSERVATION - SCIE(Q4),0.15,0.2,0.3
Turkish Journal of Business Ethics,BUSINESS - ESCI(Q4),,,0.3
Advances in Environmental Research-An International Journal,"ENGINEERING, ENVIRONMENTAL - ESCI(Q4)",,,0.3
ATP Magazine,AUTOMATION & CONTROL SYSTEMS - ESCI(Q4),,,0.3
Contaduria Universidad de Antioquia,,,,0.3
Cuestiones de Sociologia,SOCIOLOGY - ESCI(Q4),,,0.3
LATIN AMERICAN MUSIC REVIEW-REVISTA DE MUSICA LATINOAMERICANA,,,,0.3
Perspectiva Geografica,GEOGRAPHY - ESCI(Q4),,,0.3
PHYSICS WORLD,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q4)",0.52,0.6,0.3
Revista de Estudios Regionales,ENVIRONMENTAL STUDIES - ESCI(Q4),,,0.3
SA Pharmaceutical Journal,PHARMACOLOGY & PHARMACY - ESCI(Q4),,,0.3
Espace Politique,GEOGRAPHY - ESCI(Q4),,,0.3
Euskera,,,,0.3
Revista Comunicacion,BIOLOGY - ESCI(Q4),,,0.3
Revista Latinoamericana de Estudios sobre Cuerpos Emociones y Sociedad,SOCIAL ISSUES - ESCI(Q4),,,0.3
Revista Rupturas,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(Q3)",,,0.3
KENYON REVIEW,,,,0.3
Music and The Moving Image,,,,0.3
PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY,,,,0.3
Socialist Studies,,,,0.3
NEW GERMAN CRITIQUE,,,,0.2
RIHA Journal,,,,0.2
GERMAN LIFE AND LETTERS,,,,0.2
COLLEGE ENGLISH,,,,0.2
Bulletin of Spanish Studies,,,,0.2
JOURNAL OF MEDIEVAL HISTORY,,,,0.2
RUSSIAN LITERATURE,,,,0.2
JOURNAL OF HELLENIC STUDIES,,,,0.2
Partial Answers-Journal of Literature and the History of Ideas,,,,0.2
ROMANCE QUARTERLY,,,,0.2
Nueva Revista Filologia Hispanica,,,,0.2
Forum for World Literature Studies,,,,0.2
GERMANIC REVIEW,,,,0.2
Eighteenth-Century Fiction,,,,0.2
CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,,,,0.2
REVUE ROMANE,,,,0.2
Melanges de la Casa de Velazquez,HISTORY - AHCI(Q2),,,0.2
Literature Compass,,,,0.2
Italian Studies,,,,0.2
CRITICAL QUARTERLY,,,,0.2
Boletin de Literatura Oral,,,,0.2
ARETHUSA,,,,0.2
Cambridge Classical Journal,,,,0.2
Mouseion-Journal of the Classical Association of Canada,,,,0.2
AUSTRALIAN LITERARY STUDIES,,,,0.2
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,,,,0.2
LIT-Literature Interpretation Theory,,,,0.2
MNEMOSYNE,,,,0.2
VOLKSKUNDE,,,,0.2
Caliope-Journal of the Society for Renaissance and Baroque Hispanic Poetry,,,,0.2
CLASSICAL QUARTERLY,,,,0.2
Philippine Studies-Historical and Ethnographic Viewpoints,HISTORY - ESCI(Q2),,,0.2
Shakespeare,,,,0.2
SEMINAR-A JOURNAL OF GERMANIC STUDIES,,,,0.2
MEDIEVAL HISTORY JOURNAL,,,,0.2
Passagens-International Review of Political History and Legal Culture,HISTORY - ESCI(Q2),,,0.2
NEW THEATRE QUARTERLY,,,,0.2
ARIEL-A REVIEW OF INTERNATIONAL ENGLISH LITERATURE,,,,0.2
JOURNAL OF COMMONWEALTH LITERATURE,,,,0.2
GREEK ROMAN AND BYZANTINE STUDIES,,,,0.2
ORBIS LITTERARUM,,,,0.2
Torres de Lucca-Revista Internacional de Filosofia Politica,,,,0.2
FORUM ITALICUM,,,,0.2
HELIOS,,,,0.2
UNIVERSITY OF TORONTO QUARTERLY,,,,0.2
Philosophy of Music Education Review,,,,0.2
PACIFIC HISTORICAL REVIEW,HISTORY - AHCI(Q2),,,0.2
GREECE & ROME,,,,0.2
Tydskrif vir letterkunde,,,,0.2
AFRICAN AMERICAN REVIEW,,,,0.2
INTERNATIONALES ARCHIV FUR SOZIALGESCHICHTE DER DEUTSCHEN LITERATUR,,,,0.2
COMPARATIVE LITERATURE STUDIES,,,,0.2
Mediterranean Historical Review,HISTORY - AHCI(Q2),0.1,,0.2
International Journal of the Classical Tradition,,,,0.2
Terrae Incognitae-The Journal of the Society for the History of Discoveries,HISTORY - ESCI(Q2),,,0.2
Studies in Theatre and Performance,,,,0.2
Empirical Musicology Review,,,,0.2
Classical Receptions Journal,,,,0.2
NEOHELICON,,,,0.2
Revista Brasileira de Historia,HISTORY - AHCI(Q2),,,0.2
Romance Studies,,,,0.2
South African Theatre Journal,,,,0.2
GLOTTA-ZEITSCHRIFT FUR GRIECHISCHE UND LATEINISCHE SPRACHE,,,,0.2
Middle Eastern Literatures,,,,0.2
ZEITSCHRIFT FUR SLAVISCHE PHILOLOGIE,,,,0.2
MODERN PHILOLOGY,,,,0.2
Romanica Olomucensia,,,,0.2
TOUNG PAO,,,,0.2
African Historical Review,HISTORY - ESCI(Q2),,,0.2
ISLE-Interdisciplinary Studies in Literature and Environment,,,,0.2
Plainsong & Medieval Music,,,,0.2
Novoe Literaturnoe Obozrenie,,,,0.2
FRENCH HISTORICAL STUDIES,HISTORY - AHCI(Q2),,,0.2
Aramaic Studies,,,,0.2
MEANJIN,,,,0.2
Modern Chinese Literature and Culture,,,,0.2
VIVARIUM-AN INTERNATIONAL JOURNAL FOR THE PHILOSOPHY AND INTELLECTUAL LIFE OF THE MIDDLE AGES AND RENAISSANCE,,,,0.2
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,HISTORY - AHCI(Q2),0.32,,0.2
Journal of International and Comparative Law,,,,0.2
Journal of Contemporary Drama in English,,,,0.2
PARERGON,,,,0.2
Al-Masaq-Journal of the Medieval Mediterranean,,,,0.2
Journal of Screenwriting,,,,0.2
Interdisciplinary Studies of Literature,,,,0.2
ASIAN MUSIC,,,,0.2
GERMAN QUARTERLY,,,,0.2
HISTORIA-ZEITSCHRIFT FUR ALTE GESCHICHTE,HISTORY - AHCI(Q2),,,0.2
Trans-Form-Acao,,,,0.2
Anuario de Estudios Medievales,,,,0.2
CONFLUENCIA-REVISTA HISPANICA DE CULTURA Y LITERATURA,,,,0.2
Revolutionary Russia,HISTORY - AHCI(Q2),,,0.2
Southern African Humanities,,,,0.2
Drevnyaya Rus-Voprosy Medievistiki,,,,0.2
Alabe-Revista de Investigacion sobre Lectura y Escritura,,,,0.2
BULLETIN OF THE INSTITUTE OF CLASSICAL STUDIES,,,,0.2
COLLEGE LITERATURE,,,,0.2
Fascism,,,,0.2
Histories,,,,0.2
HARVARD JOURNAL OF ASIATIC STUDIES,ASIAN STUDIES - AHCI(Q2),,,0.2
Literatura-Teoria Historia Critica,,,,0.2
Studia Litterarum,,,,0.2
Acta Orientalia Academiae Scientiarum Hungaricae,ASIAN STUDIES - AHCI(Q2),,,0.2
French History,HISTORY - AHCI(Q2),0.11,,0.2
Historia y Comunicacion Social,"FILM, RADIO, TELEVISION - AHCI(Q2)",,,0.2
INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES,HISTORY - AHCI(Q2),,,0.2
Metal Music Studies,,,,0.2
Problemy Muzykalnoi Nauki-Music Scholarship,,,,0.2
WALLACE STEVENS JOURNAL,,,,0.2
Monatshefte,,,,0.2
Early China,,,,0.2
War & Society,HISTORY - AHCI(Q2),0.5,,0.2
Canadian Journal of Film Studies-Revue Canadienne d Etudes Cinematographiques,,,,0.2
VSWG-Vierteljahrschrift fur Sozial-und Wirtschaftsgeschichte,HISTORY - ESCI(Q2),,,0.2
Australasian Drama Studies,,,,0.2
Childrens Literature Association Quarterly,,,,0.2
European Journal of Media Art and Photography,,,,0.2
Journal of British Cinema and Television,,,,0.2
Technoetic Arts,,,,0.2
Espana Medieval,,,,0.2
Seoul Journal of Korean Studies,AREA STUDIES - ESCI(Q4),,,0.2
Vulcan,HISTORY - ESCI(Q2),,,0.2
Zolotoordynskoe Obozrenie-Golden Horde Review,HISTORY - ESCI(Q2),,,0.2
Ben Jonson Journal,,,,0.2
HISTORY OF PHOTOGRAPHY,,,,0.2
JOURNAL OF MUSICOLOGY,,,,0.2
CINEJ Cinema Journal,,,,0.2
TWENTIETH CENTURY LITERATURE,,,,0.2
Asian Review of World Histories,HISTORY - ESCI(Q2),,,0.2
Bamboo and Silk,,,,0.2
CAMBRIAN MEDIEVAL CELTIC STUDIES,,,,0.2
Lectora-Revista de Dones i Textualitat,,,,0.2
NORTHERN HISTORY,HISTORY - AHCI(Q2),0.12,,0.2
ANALES CERVANTINOS,,,,0.2
RILCE-Revista de Filologia Hispanica,LANGUAGE & LINGUISTICS - AHCI(Q4),0.26,,0.2
Art Documentation,,,,0.2
Bioscope-South Asian Screen Studies,,,,0.2
CLCWEB-Comparative Literature and Culture,,,,0.2
Hebrew Bible and Ancient Israel,,,,0.2
Memoria y Civilizacion-Anuario de Historia,HISTORY - ESCI(Q2),,,0.2
Afghanistan,,,,0.2
Irish Economic and Social History,HISTORY - ESCI(Q2),,,0.2
Current Writing-Text and Reception in Southern Africa,,,,0.2
Musicologist,,,,0.2
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,,,,0.2
Bronte Studies,,,,0.2
Parliamentary History,HISTORY - AHCI(Q2),,,0.2
Epistemology & Philosophy of Science-Epistemologiya i Filosofiya Nauki,,,,0.2
Jewish Studies Quarterly,,,,0.2
PHILOSOPHICAL FORUM,,,,0.2
Comparatist,,,,0.2
GYMNASIUM,,,,0.2
Istoriya-Elektronnyi Nauchno-Obrazovatelnyi Zhurnal,HISTORY - ESCI(Q2),,,0.2
Anuario de Estudios Americanos,HISTORY - AHCI(Q2),,,0.2
Comparative Critical Studies,,,,0.2
Journal of Supreme Court History,HISTORY - ESCI(Q2),,,0.2
Studia Theologica-Czech Republic,,,,0.2
International Journal for the Study of the Christian Church,,,,0.2
International Journal of Islamic Architecture,,,,0.2
Japan Forum,AREA STUDIES - ESCI(Q4),,,0.2
Museum History Journal,HISTORY - ESCI(Q2),,,0.2
COMPARATIVE DRAMA,,,,0.2
Cuadernos de Historia Moderna,HISTORY - ESCI(Q2),,,0.2
Hiperboreea,HISTORY - ESCI(Q2),,,0.2
LEARNing Landscapes,EDUCATION & EDUCATIONAL RESEARCH - ESCI(Q4),,,0.2
Rivista di Matematica della Universita di Parma,MATHEMATICS - ESCI(Q4),,,0.2
Australian Journal of Administrative Law,LAW - ESCI(Q3),,,0.2
Ilha do Desterro-A Journal of English Language Literatures in English and Cultural Studies,,,,0.2
International Journal of Military History and Historiography,HISTORY - ESCI(Q2),,,0.2
Milli Folklor,,,,0.2
ANTIKE UND ABENDLAND,,,,0.2
Arqueologia y Territorio Medieval,,,,0.2
Pasado y Memoria-Revista de Historia Contemporanea,HISTORY - ESCI(Q2),,,0.2
Journal of the Society for American Music,,,,0.2
ZEITSCHRIFT FUR DIE ALTTESTAMENTLICHE WISSENSCHAFT,,,,0.2
Aspasia,HISTORY - ESCI(Q2),,,0.2
Ilahiyat Tetkikleri Dergisi-Journal of Ilahiyat Researches,,,,0.2
Journal of Comparative Germanic Linguistics,LANGUAGE & LINGUISTICS - AHCI(Q4),0.81,,0.2
Music Sound and the Moving Image,,,,0.2
TEMPO,,,,0.2
ARCHITECTURAL HISTORY,ARCHITECTURE - AHCI(Q2),,,0.2
Boletim do Arquivo da Universidade de Coimbra,HISTORY - ESCI(Q2),,,0.2
Grazer Philosophische Studien-International Journal for Analytic Philosophy,,,,0.2
Journal of Applied Logics-IfCoLoG Journal of Logics and their Applications,LOGIC - ESCI(Q4),,,0.2
Choreographic Practices,,,,0.2
Holocaust-Studii si Cercetari,HISTORY - ESCI(Q2),,,0.2
International Journal of Korean History,HISTORY - ESCI(Q2),,,0.2
Journal for Eighteenth-Century Studies,,,,0.2
Journal of Italian Cinema and Media Studies,,,,0.2
Journal of Scottish Philosophy,,,,0.2
Annales-Anali za Istrske in Mediteranske Studije-Series Historia et Sociologia,,,,0.2
ESTUDIOS FILOLOGICOS,LANGUAGE & LINGUISTICS - AHCI(Q4),0.04,,0.2
Filosofija-Sociologija,PHILOSOPHY - AHCI(Q4),0.41,,0.2
JOURNAL OF MILITARY HISTORY,HISTORY - AHCI(Q2),,,0.2
Journal of the History of Collections,,,,0.2
Manuscrito,,,,0.2
Teaching Philosophy,,,,0.2
WELSH HISTORY REVIEW,HISTORY - AHCI(Q2),,,0.2
Deleuze and Guattari Studies,,,,0.2
Ecclesiology,,,,0.2
Luxury-History Culture Consumption,,,,0.2
Studies in Chinese Religions,,,,0.2
THOMIST,,,,0.2
Boletin del Museo Chileno de Arte Precolombino,,,,0.2
Historisk Tidskrift,HISTORY - AHCI(Q2),,,0.2
INTERNATIONAL REVIEW OF THE AESTHETICS AND SOCIOLOGY OF MUSIC,,,,0.2
Medievalismo,,,,0.2
MOYEN AGE,,,,0.2
Pennsylvania History-A Journal of Mid-Atlantic Studies,HISTORY - ESCI(Q2),,,0.2
ZEITGESCHICHTE,HISTORY - AHCI(Q2),0.36,,0.2
ZEITSCHRIFT FUR DEUTSCHE PHILOLOGIE,,,,0.2
BURLINGTON MAGAZINE,,,,0.2
Journal of American-East Asian Relations,HISTORY - ESCI(Q2),,,0.2
Pluralist,,,,0.2
Atlantis-Journal of the Spanish Association of Anglo-American Studies,LITERATURE - AHCI(Q4),0.41,,0.2
China and Asia,,,,0.2
JOURNAL OF GLASS STUDIES,,,,0.2
Journal of Visual Art Practice,,,,0.2
US Catholic Historian,,,,0.2
Vinculos de Historia,HISTORY - ESCI(Q2),,,0.2
WAR IN HISTORY,HISTORY - AHCI(Q2),0.17,,0.2
Arizona Quarterly,,,,0.2
Communication Law and Policy,LAW - ESCI(Q3),,,0.2
Early Christianity,,,,0.2
Journal of Speculative Philosophy,,,,0.2
Korean Journal of Medical History,HISTORY & PHILOSOPHY OF SCIENCE - AHCI(Q4),,,0.2
Turkish Historical Review,HISTORY - AHCI(Q2),,,0.2
COMPARATIVE AMERICAN STUDIES,,,,0.2
Empedocles-European Journal for the Philosophy of Communication,,,,0.2
Punk & Post-Punk,,,,0.2
Revista Chilena de Estudios Medievales,,,,0.2
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY,,,,0.2
Derrida Today,,,,0.2
JOURNAL OF CHINESE PHILOSOPHY,,,,0.2
JOURNAL OF DHARMA,,,,0.2
Politics and Religion Journal,,,,0.2
Journal of Adaptation in Film & Performance,,,,0.2
Teaching Theology and Religion,RELIGION - ESCI(Q4),,,0.2
Dialog-A Journal of Theology,,,,0.2
