journal_name,category,if_2022,if_2023,if_2024
Lancet Rheumatology,RHEUMATOLOGY - SCIE(Q1),35.48,25.4,16.4
IEEE Geoscience and Remote Sensing Magazine,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1),13.93,14.6,16.4
Journal of the National Comprehensive Cancer Network,ONCOLOGY - SCIE(Q1),12.69,13.4,16.4
Green Energy and Intelligent Transportation,,,,16.4
Science Immunology,IMMUNOLOGY - SCIE(Q1),30.63,24.8,16.3
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE(Q1),16.8,15.9,16.3
TRENDS IN GENETICS,GENETICS & HEREDITY - SCIE(Q1),11.82,11.4,16.3
BRITISH JOURNAL OF SPORTS MEDICINE,SPORT SCIENCES - SCIE(Q1),18.47,18.4,16.2
CIRCULATION RESEARCH,HEMATOLOGY - SCIE(Q1),23.21,20.1,16.2
PROGRESS IN AEROSPACE SCIENCES,"ENGINEERING, AEROSPACE - SCIE(Q1)",8.93,9.6,16.2
HUMAN REPRODUCTION UPDATE,REPRODUCTIVE BIOLOGY - SCIE(Q1),17.18,13.3,16.1
Nature Geoscience,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)",21.53,18.3,16.1
Applied Mechanics Reviews,MECHANICS - SCIE(Q1),11.35,14.3,16.1
Nature Protocols,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1),17.02,14.8,16
ACS Nano,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",18.03,17.1,16
Annual Review of Environment and Resources,ENVIRONMENTAL STUDIES - SSCI(Q1),17.91,16.4,16
Nature Human Behaviour,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),24.25,29.9,15.9
Energy Material Advances,,,,15.9
HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),17.3,13.5,15.8
Physical Review X,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",14.42,12.5,15.7
PERIODONTOLOGY 2000,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)",12.24,18.6,15.7
SEMINARS IN CANCER BIOLOGY,ONCOLOGY - SCIE(Q1),17.01,14.5,15.7
Nature Communications,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),17.69,16.6,15.7
Journal of the American Chemical Society,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",16.38,15,15.6
Lancet Child & Adolescent Health,PEDIATRICS - SCIE(Q1),37.75,36.4,15.5
Journal of Innovation & Knowledge,BUSINESS - SSCI(Q1),11.22,,15.5
Information Fusion,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)",17.56,18.6,15.5
npj Flexible Electronics,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",12.02,14.6,15.5
BMEMat,,,,15.5
INTERNATIONAL MATERIALS REVIEWS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",15.75,16.1,15.5
Statistics Surveys,STATISTICS & PROBABILITY - ESCI(Q1),,,15.4
TRENDS IN FOOD SCIENCE & TECHNOLOGY,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),16.0,15.3,15.4
CELL DEATH AND DIFFERENTIATION,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),12.07,12.4,15.4
One Earth,ENVIRONMENTAL STUDIES - SSCI(Q1),14.94,16.2,15.3
RADIOLOGY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",29.15,19.7,15.2
ANNALS OF INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",51.6,39.2,15.2
JACC-Cardiovascular Imaging,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",16.05,14,15.2
Translational Neurodegeneration,NEUROSCIENCES - SCIE(Q1),9.88,12.6,15.2
Mycosphere,MYCOLOGY - SCIE(Q1),16.53,14.6,15.1
npj Digital Medicine,HEALTH CARE SCIENCES & SERVICES - SCIE(Q1),15.36,15.2,15.1
TRENDS IN NEUROSCIENCES,NEUROSCIENCES - SCIE(Q1),16.98,15.9,15.1
Neuron,NEUROSCIENCES - SCIE(Q1),18.69,16.2,15
Bone Research,CELL & TISSUE ENGINEERING - SCIE(Q1),13.36,12.7,15
JAMA Surgery,SURGERY - SCIE(Q1),16.68,16.9,14.9
Journal of Energy Chemistry,"CHEMISTRY, APPLIED - SCIE(Q1)",13.6,13.1,14.9
PROGRESS IN LIPID RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),14.67,13.6,14.9
TRENDS IN BIOTECHNOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),21.94,17.3,14.9
TRENDS IN MICROBIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),18.23,15.9,14.9
International Journal of Transgender Health,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q1)",3.14,4.6,14.8
AI Open,,,,14.8
PROGRESS IN RETINAL AND EYE RESEARCH,OPHTHALMOLOGY - SCIE(Q1),19.7,17.8,14.7
AMERICAN JOURNAL OF PSYCHIATRY,PSYCHIATRY - SSCI(Q1),19.24,17.7,14.7
ENDOCRINE PATHOLOGY,PATHOLOGY - SCIE(Q1),4.06,4.4,14.7
